Timestamp,Distance,FillPercent,Status,Alert
2026-06-12 16:36:46.682238,14,86.0,FULL,YES
2026-06-12 16:36:51.687612,58,42.0,EMPTY,NO
2026-06-12 16:36:56.689911,98,2.0,EMPTY,NO
2026-06-12 16:37:01.701258,93,7.0,EMPTY,NO
2026-06-12 16:37:06.703849,35,65.0,HALF FULL,NO
2026-06-12 16:37:11.738079,59,41.0,EMPTY,NO
2026-06-12 16:37:16.770850,19,81.0,FULL,YES
2026-06-12 16:37:21.816200,27,73.0,HALF FULL,NO
2026-06-12 16:37:26.851317,57,43.0,EMPTY,NO
2026-06-12 16:37:31.869723,91,9.0,EMPTY,NO
2026-06-12 16:37:36.909750,40,60.0,HALF FULL,NO
2026-06-12 16:37:41.915576,26,74.0,HALF FULL,NO
2026-06-12 16:37:46.918536,98,2.0,EMPTY,NO
2026-06-12 16:37:51.972991,59,41.0,EMPTY,NO
2026-06-12 16:37:57.011543,44,56.0,HALF FULL,NO
2026-06-12 16:38:02.054808,90,10.0,EMPTY,NO
2026-06-12 16:38:07.097275,56,44.0,EMPTY,NO
2026-06-12 16:38:12.138617,74,26.0,EMPTY,NO
2026-06-12 16:38:17.179239,15,85.0,FULL,YES
2026-06-12 16:38:22.183056,54,46.0,EMPTY,NO
2026-06-12 16:38:27.186912,6,94.0,FULL,YES
2026-06-12 16:38:32.199415,29,71.0,HALF FULL,NO
2026-06-12 16:38:37.237938,84,16.0,EMPTY,NO
2026-06-12 16:38:42.239600,86,14.0,EMPTY,NO
2026-06-12 16:38:47.243356,87,13.0,EMPTY,NO
2026-06-12 16:38:52.245364,66,34.0,EMPTY,NO
2026-06-12 16:38:57.248615,56,44.0,EMPTY,NO
2026-06-12 16:39:02.266479,73,27.0,EMPTY,NO
2026-06-12 16:39:07.299419,16,84.0,FULL,YES
2026-06-12 16:39:12.309200,55,45.0,EMPTY,NO
2026-06-12 16:39:17.311426,65,35.0,EMPTY,NO
2026-06-12 16:39:22.314894,84,16.0,EMPTY,NO
2026-06-12 16:39:27.321035,5,95.0,FULL,YES
2026-06-12 16:39:32.327120,48,52.0,HALF FULL,NO
2026-06-12 16:39:37.330250,93,7.0,EMPTY,NO
2026-06-12 16:39:42.335076,59,41.0,EMPTY,NO
2026-06-12 16:39:47.337938,55,45.0,EMPTY,NO
2026-06-12 16:39:52.343477,45,55.0,HALF FULL,NO
2026-06-12 16:39:57.346231,63,37.0,EMPTY,NO
2026-06-12 16:40:02.348831,90,10.0,EMPTY,NO
2026-06-12 16:40:07.351498,29,71.0,HALF FULL,NO
2026-06-12 16:40:12.384893,8,92.0,FULL,YES
2026-06-12 16:40:17.388132,69,31.0,EMPTY,NO
2026-06-12 16:40:22.391722,24,76.0,HALF FULL,NO
2026-06-12 16:40:27.419710,31,69.0,HALF FULL,NO
2026-06-12 16:40:32.424075,30,70.0,HALF FULL,NO
2026-06-12 16:40:37.443381,46,54.0,HALF FULL,NO
2026-06-12 16:40:42.483068,72,28.0,EMPTY,NO
2026-06-12 16:40:47.493556,32,68.0,HALF FULL,NO
2026-06-12 16:40:52.501035,89,11.0,EMPTY,NO
2026-06-12 16:40:57.504904,8,92.0,FULL,YES
2026-06-12 16:41:02.512214,30,70.0,HALF FULL,NO
2026-06-12 16:41:07.521283,62,38.0,EMPTY,NO
2026-06-12 16:41:12.524379,45,55.0,HALF FULL,NO
2026-06-12 16:41:17.526613,58,42.0,EMPTY,NO
2026-06-12 16:41:22.529697,37,63.0,HALF FULL,NO
2026-06-12 16:41:27.532157,76,24.0,EMPTY,NO
2026-06-12 16:41:32.534200,16,84.0,FULL,YES
2026-06-12 16:41:37.538903,9,91.0,FULL,YES
2026-06-12 16:41:42.541951,80,20.0,EMPTY,NO
2026-06-12 16:41:47.545756,92,8.0,EMPTY,NO
2026-06-12 17:52:01.428935,36,64.0,HALF FULL,NO
2026-06-12 17:52:06.429887,52,48.0,EMPTY,NO
2026-06-12 17:52:11.447378,66,34.0,EMPTY,NO
2026-06-12 17:52:16.449123,91,9.0,EMPTY,NO
2026-06-12 17:52:21.451455,58,42.0,EMPTY,NO
2026-06-12 17:52:26.453023,35,65.0,HALF FULL,NO
2026-06-12 17:52:31.454802,42,58.0,HALF FULL,NO
2026-06-12 17:52:36.460983,69,31.0,EMPTY,NO
2026-06-12 17:52:41.462922,37,63.0,HALF FULL,NO
2026-06-12 17:52:46.465493,68,32.0,EMPTY,NO
2026-06-12 17:52:51.467804,81,19.0,EMPTY,NO
2026-06-12 17:52:56.470719,25,75.0,HALF FULL,NO
2026-06-12 17:53:01.473105,78,22.0,EMPTY,NO
2026-06-12 17:53:06.475060,45,55.0,HALF FULL,NO
2026-06-12 17:53:11.476803,94,6.0,EMPTY,NO
2026-06-12 17:53:16.478718,100,0.0,EMPTY,NO
2026-06-12 17:53:21.483761,60,40.0,EMPTY,NO
2026-06-12 17:53:26.491738,59,41.0,EMPTY,NO
2026-06-12 17:53:31.493828,98,2.0,EMPTY,NO
2026-06-12 17:53:36.495723,86,14.0,EMPTY,NO
2026-06-12 17:53:41.498523,43,57.0,HALF FULL,NO
2026-06-12 17:53:46.502004,15,85.0,FULL,YES
2026-06-12 17:53:51.508538,83,17.0,EMPTY,NO
2026-06-12 17:53:56.512159,100,0.0,EMPTY,NO
2026-06-12 17:54:01.517051,5,95.0,FULL,YES
2026-06-12 17:54:06.519597,59,41.0,EMPTY,NO
2026-06-12 17:54:11.527533,94,6.0,EMPTY,NO
2026-06-12 17:54:16.531560,45,55.0,HALF FULL,NO
2026-06-12 17:54:21.535699,90,10.0,EMPTY,NO
2026-06-12 17:54:26.538295,75,25.0,EMPTY,NO
2026-06-12 17:54:31.541341,68,32.0,EMPTY,NO
2026-06-12 17:54:36.553289,62,38.0,EMPTY,NO
2026-06-12 17:54:41.555499,11,89.0,FULL,YES
2026-06-12 17:54:46.564687,53,47.0,EMPTY,NO
2026-06-12 17:54:51.574327,25,75.0,HALF FULL,NO
2026-06-12 17:54:56.580110,42,58.0,HALF FULL,NO
2026-06-12 17:55:01.582025,52,48.0,EMPTY,NO
2026-06-12 17:55:06.587170,18,82.0,FULL,YES
2026-06-12 17:55:11.593494,41,59.0,HALF FULL,NO
2026-06-12 17:55:16.596956,14,86.0,FULL,YES
2026-06-12 17:55:21.602551,7,93.0,FULL,YES
2026-06-12 17:55:26.604630,89,11.0,EMPTY,NO
2026-06-12 17:55:31.610079,46,54.0,HALF FULL,NO
2026-06-12 17:55:36.612994,83,17.0,EMPTY,NO
2026-06-12 17:55:41.616560,94,6.0,EMPTY,NO
2026-06-12 17:55:46.626479,60,40.0,EMPTY,NO
2026-06-12 17:55:51.632796,78,22.0,EMPTY,NO
2026-06-12 17:55:56.634405,85,15.0,EMPTY,NO
2026-06-12 17:56:01.637980,75,25.0,EMPTY,NO
2026-06-12 17:56:06.640607,70,30.0,EMPTY,NO
2026-06-12 17:56:11.642968,37,63.0,HALF FULL,NO
2026-06-12 17:56:16.644916,13,87.0,FULL,YES
2026-06-12 17:56:21.647530,32,68.0,HALF FULL,NO
2026-06-12 17:56:26.650203,82,18.0,EMPTY,NO
2026-06-12 17:56:31.657173,12,88.0,FULL,YES
2026-06-12 17:56:36.664128,60,40.0,EMPTY,NO
2026-06-12 17:56:41.670323,90,10.0,EMPTY,NO
2026-06-12 17:56:46.675245,52,48.0,EMPTY,NO
2026-06-12 17:56:51.680748,43,57.0,HALF FULL,NO
2026-06-12 17:56:56.683025,56,44.0,EMPTY,NO
2026-06-12 17:57:01.685309,29,71.0,HALF FULL,NO
2026-06-12 17:57:06.688067,22,78.0,HALF FULL,NO
2026-06-12 17:57:11.692664,61,39.0,EMPTY,NO
2026-06-12 17:57:16.699894,36,64.0,HALF FULL,NO
2026-06-12 17:57:21.703126,69,31.0,EMPTY,NO
2026-06-12 17:57:26.704491,26,74.0,HALF FULL,NO
2026-06-12 17:57:31.707124,15,85.0,FULL,YES
2026-06-12 17:57:36.708712,82,18.0,EMPTY,NO
2026-06-12 17:57:41.710386,65,35.0,EMPTY,NO
2026-06-12 17:57:46.712244,15,85.0,FULL,YES
2026-06-12 17:57:51.715200,28,72.0,HALF FULL,NO
2026-06-12 17:57:56.717195,82,18.0,EMPTY,NO
2026-06-12 17:58:01.724610,39,61.0,HALF FULL,NO
2026-06-12 17:58:06.728874,51,49.0,EMPTY,NO
2026-06-12 17:58:11.732813,47,53.0,HALF FULL,NO
2026-06-12 17:58:16.739936,9,91.0,FULL,YES
2026-06-12 17:58:21.741044,70,30.0,EMPTY,NO
2026-06-12 17:58:26.745136,89,11.0,EMPTY,NO
2026-06-12 17:58:31.754366,16,84.0,FULL,YES
2026-06-12 17:58:36.761580,25,75.0,HALF FULL,NO
2026-06-12 17:58:41.770448,45,55.0,HALF FULL,NO
2026-06-12 17:58:46.773364,33,67.0,HALF FULL,NO
2026-06-12 17:58:51.778693,80,20.0,EMPTY,NO
2026-06-12 17:58:56.787198,82,18.0,EMPTY,NO
2026-06-12 17:59:01.791400,75,25.0,EMPTY,NO
2026-06-12 17:59:06.797692,68,32.0,EMPTY,NO
2026-06-12 17:59:11.805185,84,16.0,EMPTY,NO
2026-06-12 17:59:16.807667,26,74.0,HALF FULL,NO
2026-06-12 17:59:21.810218,37,63.0,HALF FULL,NO
2026-06-12 17:59:26.815837,43,57.0,HALF FULL,NO
2026-06-12 17:59:31.822513,91,9.0,EMPTY,NO
2026-06-12 17:59:36.828925,41,59.0,HALF FULL,NO
2026-06-12 17:59:41.835562,55,45.0,EMPTY,NO
2026-06-12 17:59:46.838891,95,5.0,EMPTY,NO
2026-06-12 17:59:51.840686,66,34.0,EMPTY,NO
2026-06-12 17:59:56.858553,74,26.0,EMPTY,NO
2026-06-12 18:00:01.868244,52,48.0,EMPTY,NO
2026-06-12 18:00:06.870452,23,77.0,HALF FULL,NO
2026-06-12 18:00:11.875253,93,7.0,EMPTY,NO
2026-06-12 18:00:16.877684,6,94.0,FULL,YES
2026-06-12 18:00:21.889487,73,27.0,EMPTY,NO
2026-06-12 18:00:26.892189,17,83.0,FULL,YES
2026-06-12 18:00:31.894125,24,76.0,HALF FULL,NO
2026-06-12 18:00:36.897127,29,71.0,HALF FULL,NO
2026-06-12 18:00:41.917734,46,54.0,HALF FULL,NO
2026-06-12 18:00:46.932957,17,83.0,FULL,YES
2026-06-12 18:00:51.934065,16,84.0,FULL,YES
2026-06-12 18:00:56.936259,76,24.0,EMPTY,NO
2026-06-12 18:01:01.938426,25,75.0,HALF FULL,NO
2026-06-12 18:01:06.946733,84,16.0,EMPTY,NO
2026-06-12 18:01:11.948747,52,48.0,EMPTY,NO
2026-06-12 18:01:16.951749,14,86.0,FULL,YES
